TransactionID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11
1,Bread,Cheese,Eggs,Juice,Butter,,,,,,
2,Bread,Juice,Eggs,Cheese,Milk,Jam,Apples,Bananas,Chicken,Butter,
3,Juice,Butter,Apples,Bread,Jam,,,,,,
4,Bananas,Jam,Butter,Juice,Eggs,Bread,Cheese,Apples,Milk,Chicken,
5,Cheese,,,,,,,,,,
6,Bread,Butter,,,,,,,,,
7,Cheese,Jam,,,,,,,,,
8,Bananas,Eggs,Cheese,Jam,Milk,Chicken,Apples,Juice,Bread,Butter,
9,Jam,Butter,Apples,Juice,Eggs,Chicken,Bread,Cheese,Milk,Bananas,
10,Milk,Cheese,Bread,Chicken,Bananas,Eggs,Apples,Butter,Juice,Jam,
11,Jam,Apples,Bananas,Eggs,Chicken,Juice,Bread,Milk,Butter,,
12,Butter,Cheese,,,,,,,,,
13,Juice,Jam,Bananas,Bread,Chicken,Milk,Apples,Cheese,Eggs,Butter,
14,Butter,Cheese,Apples,Juice,,,,,,,
15,Chicken,Jam,Bread,Milk,Apples,Bananas,Eggs,,,,
16,Cheese,,,,,,,,,,
17,Cheese,Bread,Eggs,,,,,,,,
18,Bread,Chicken,Jam,Apples,Cheese,Bananas,,,,,
19,Bananas,Butter,Milk,Bread,Juice,Chicken,Eggs,,,,
20,Milk,Butter,Apples,Bananas,Juice,Chicken,Jam,Bread,Cheese,Eggs,
21,Cheese,Bread,Milk,Chicken,Butter,Juice,Apples,Bananas,Eggs,Jam,
22,Eggs,Cheese,,,,,,,,,
23,Apples,Chicken,Butter,Cheese,Jam,Milk,Bread,Bananas,Eggs,,
24,Apples,Juice,Bananas,Cheese,Eggs,Butter,,,,,
25,Butter,Cheese,Eggs,Bananas,Chicken,,,,,,
26,Jam,Eggs,Apples,,,,,,,,
27,Apples,,,,,,,,,,
28,Chicken,Apples,Juice,Butter,Bread,,,,,,
29,Cheese,Jam,Apples,Chicken,Bananas,,,,,,
30,Eggs,Cheese,Apples,Jam,Butter,Juice,Bread,Bananas,Milk,Chicken,
31,Bread,Apples,Chicken,Cheese,Bananas,Juice,,,,,
32,Jam,Juice,Milk,Butter,Bananas,Apples,Eggs,,,,
33,Milk,Jam,Cheese,Eggs,Butter,,,,,,
34,Milk,Apples,,,,,,,,,
35,Milk,Apples,Bread,Juice,Cheese,Butter,Bananas,Eggs,Jam,Chicken,
36,Chicken,Butter,Jam,Juice,,,,,,,
37,Apples,Juice,Jam,Chicken,Cheese,Bananas,Eggs,,,,
38,Eggs,Bananas,Juice,Apples,Jam,Cheese,Bread,Chicken,,,
39,Cheese,Eggs,Jam,Juice,,,,,,,
40,Butter,Juice,Cheese,Milk,Eggs,Bananas,Chicken,,,,
41,Eggs,Butter,Cheese,Bread,Chicken,Juice,Milk,Bananas,Jam,Apples,
42,Bread,Milk,Jam,Juice,Cheese,,,,,,
43,Bread,Apples,Butter,Bananas,Cheese,Chicken,Jam,Milk,Juice,Eggs,
44,Eggs,Milk,Jam,Chicken,Butter,Apples,Cheese,Bananas,Juice,Bread,
45,Bread,Cheese,Chicken,Bananas,Jam,Milk,Eggs,,,,
46,Apples,Chicken,Butter,Milk,Eggs,Cheese,Bananas,Bread,,,
47,Apples,Jam,Cheese,Milk,Chicken,Juice,,,,,
48,Bread,Butter,Jam,,,,,,,,
49,Jam,Chicken,Juice,Butter,Milk,Bread,Apples,Cheese,,,
50,Bananas,Bread,Cheese,Juice,Apples,Chicken,Eggs,Jam,Butter,,
51,Butter,Apples,Bananas,Juice,Milk,,,,,,
52,Juice,Butter,Eggs,Bread,Apples,Jam,,,,,
53,Jam,Juice,Chicken,Milk,Bananas,,,,,,
54,Bananas,Apples,Eggs,Cheese,Bread,Chicken,Juice,,,,
55,Eggs,Juice,Bread,Cheese,Jam,Milk,Butter,,,,
56,Milk,Juice,Chicken,Eggs,Butter,Cheese,Bananas,Apples,Jam,Bread,
57,Bananas,Chicken,Juice,Butter,Eggs,Bread,Cheese,Apples,Jam,Milk,
58,Apples,Bread,,,,,,,,,
59,Cheese,Apples,Butter,Eggs,Chicken,,,,,,
60,Bananas,Milk,Jam,Chicken,Apples,Eggs,Juice,Bread,Cheese,Butter,
61,Jam,Butter,Chicken,Bananas,Juice,Cheese,Apples,Milk,,,
62,Eggs,,,,,,,,,,
63,Milk,Cheese,Bread,Jam,Apples,Chicken,Eggs,Butter,Bananas,Juice,
64,Bread,Chicken,Bananas,Eggs,Butter,Juice,Cheese,Milk,Jam,,
65,Eggs,,,,,,,,,,
66,Jam,Bread,Apples,Bananas,Chicken,Juice,,,,,
67,Cheese,Bananas,Apples,,,,,,,,
68,Jam,,,,,,,,,,
69,Jam,Chicken,Eggs,Butter,Bread,,,,,,
70,Apples,Cheese,Jam,Juice,Bread,Eggs,Butter,,,,
71,Cheese,Eggs,Juice,Milk,Bananas,Apples,Butter,,,,
72,Bread,Juice,Milk,Cheese,Chicken,Jam,Bananas,Apples,Eggs,Butter,
73,Jam,,,,,,,,,,
74,Cheese,Butter,Milk,Apples,Juice,Chicken,Jam,,,,
75,Cheese,Eggs,Butter,Chicken,Apples,Milk,Bananas,Bread,,,
76,Apples,Cheese,Jam,Eggs,Milk,Bread,Butter,,,,
